personName,countryOfCitizenship,selfMade,industries
Mikhail Shelkov,Russia,True,Metals & Mining
Patrick Drahi,France,True,Telecom
Behdad Eghbali,United States,True,Finance & Investments
Juan Carlos Escotet,Venezuela,True,Finance & Investments
Jose E. Feliciano,United States,True,Finance & Investments
Hu Kaijun,China,True,Healthcare
Johnelle Hunt,United States,True,Logistics
Marian Ilitch,United States,True,Food & Beverage
Daryl Katz,Canada,True,Diversified
Andrei Kozitsyn,Russia,True,Metals & Mining
Timur Kulibaev,Kazakhstan,True,Finance & Investments
Dinara Kulibaeva,Kazakhstan,False,Finance & Investments
Ian Livingstone,United Kingdom,True,Real Estate
Richard Livingstone,United Kingdom,True,Real Estate
Gwendolyn Sontheim Meyer,United States,False,Food & Beverage
Jay Paul,United States,True,Real Estate
Pham Nhat Vuong,Vietnam,True,Diversified
Jon Stryker,United States,False,Healthcare
Daniel Tsai,Taiwan,False,Finance & Investments
Richard Tsai,Taiwan,False,Finance & Investments
Frank Wang,China,True,Technology
Wang Junshi & family,China,True,Manufacturing
Wang Wenjing,China,True,Technology
Herbert Wertheim,United States,True,Finance & Investments
Shari Arison,Israel,False,Service
Pyotr Aven,Russia,True,Finance & Investments
Chan Laiwa & family,China,True,Real Estate
Chen Hua,China,True,Real Estate
Thomas Hagen,United States,False,Finance & Investments
"Rupert Johnson, Jr.",United States,False,Finance & Investments
Dewi Kam,Indonesia,True,Energy
Min Kao & family,United States,True,Technology
Marc Ladreit de Lacharriere,France,True,Finance & Investments
Eric Lefkofsky,United States,True,Technology
Lin Bin,United States,True,Technology
Lin Li,China,True,Finance & Investments
Michael Moritz,United States,True,Technology
Jean (Gigi) Pritzker,United States,False,Service
E. Joe Shoen,United States,False,Automotive
Jeff Skoll,United States,True,Technology
Lynsi Snyder,United States,False,Food & Beverage
Djoko Susanto,Indonesia,True,Fashion & Retail
Tahir & family,Indonesia,True,Diversified
Peter Thiel,United States,True,Finance & Investments
Andrej Babis,Czech Republic,True,Food & Beverage
Danielle Bellon & family,France,False,Service
Hubert Burda,Germany,False,Media & Entertainment
Nick Caporella,United States,True,Food & Beverage
John Catsimatidis,United States,True,Energy
Scott Cook,United States,True,Technology
Luca Garavoglia,Italy,False,Food & Beverage
Antti Herlin,Finland,False,Manufacturing
Hong Jie,China,True,Manufacturing
"Jeremy Jacobs, Sr. & family",United States,False,Service
Igor Kesaev,Russia,True,Fashion & Retail
Mary Alice Dorrance Malone,United States,False,Food & Beverage
Joao Moreira Salles,Brazil,False,Diversified
Walther Moreira Salles Junior,Brazil,False,Finance & Investments
Arturo Moreno,United States,True,Sports
Peter Spuhler,Switzerland,True,Manufacturing
Donald Sterling,United States,True,Real Estate
Kerry Stokes,Australia,True,Diversified
Ken Xie,United States,True,Technology
Liangzhi Xie & family,China,True,Healthcare
Sid Bass,United States,False,Energy
Ben Chestnut,United States,True,Technology
Elisabeth DeLuca & family,United States,False,Food & Beverage
Guangchang Guo,China,True,Diversified
Vinod Rai Gupta,India,False,Manufacturing
John Henry,United States,True,Sports
Travis Kalanick,United States,True,Technology
Koon Poh Keong,Malaysia,True,Manufacturing
Dan Kurzius,United States,True,Technology
Paul Lee,United States,True,Manufacturing
Tobi Lutke,Canada,True,Technology
Gail Miller,United States,True,Automotive
Rajan Mittal,India,False,Telecom
Rakesh Mittal,India,False,Telecom
Isaac Perlmutter,United States,True,Media & Entertainment
"Bernard Saul, II.",United States,False,Finance & Investments
Shaul Shani,Israel,True,Telecom
Steven Spielberg,United States,True,Media & Entertainment
Jerzy Starak,Poland,True,Healthcare
Torbjorn Tornqvist,Sweden,True,Energy
Rufino Vigil Gonzalez,Mexico,True,Metals & Mining
Zhang Daocai,China,True,Diversified
Juergen Blickle,Germany,False,Manufacturing
"Austen Cargill, II.",United States,False,Food & Beverage
"James Cargill, II.",United States,False,Food & Beverage
Vanich Chaiyawan,Thailand,True,Finance & Investments
Chen Dongsheng,China,True,Finance & Investments
Mong-Koo Chung,South Korea,False,Automotive
Kenneth Dart,Belize,False,Finance & Investments
Giuseppe De'Longhi & family,Italy,False,Fashion & Retail
Guenther Fielmann & family,Germany,True,Healthcare
W. Herbert Hunt,United States,False,Energy
James Irsay,United States,False,Sports
Somurai Jaruphnit,Thailand,False,Diversified
Marianne Liebmann,United States,False,Food & Beverage
Jorge Moll Filho & family,Brazil,True,Healthcare
Fernando Roberto Moreira Salles,Brazil,False,Diversified
Pedro Moreira Salles,Brazil,False,Diversified
Gabe Newell,United States,True,Gambling & Casinos
Alfred Oetker,Germany,False,Fashion & Retail
Carl Ferdinand Oetker,Germany,False,Fashion & Retail
Julia Oetker,Germany,False,Fashion & Retail
Ruan Hongliang & family,China,True,Manufacturing
Mark Stevens,United States,True,Finance & Investments
Tsai Hong-tu,Taiwan,False,Finance & Investments
Nusli Wadia,India,False,Food & Beverage
Wu Yiling,China,True,Healthcare
Yu Renrong,China,True,Manufacturing
Zhu Baoguo & family,China,True,Healthcare
Rahul Bhatia,India,False,Service
Francesco Gaetano Caltagirone,Italy,True,Construction & Engineering
Barry Diller,United States,True,Media & Entertainment
Wesley Edens,United States,True,Finance & Investments
Stephen Feinberg,United States,True,Finance & Investments
Rakesh Gangwal,United States,True,Service
Joseph Grendys,United States,True,Food & Beverage
Martha Ingram & family,United States,False,Media & Entertainment
Li Xiang,China,True,Automotive
"H. Ross Perot, Jr.",United States,False,Real Estate
Chandru Raheja,India,False,Real Estate
Trevor Rees-Jones,United States,True,Energy
Yasumitsu Shigeta,Japan,True,Telecom
Su Qingcan,China,True,Healthcare
Tsai Cheng-ta,Taiwan,False,Finance & Investments
Steven Udvar-Hazy,United States,True,Service
Elizabeth Uihlein,United States,True,Manufacturing
Richard Uihlein,United States,True,Manufacturing
Hayes Barnard,United States,True,Finance & Investments
William Berkley,United States,True,Finance & Investments
Charles Cohen,United States,False,Real Estate
Yakir Gabay,Cyprus,True,Real Estate
Huang Li,China,True,Technology
Brad Jacobs,United States,True,Logistics
Ji Qi,China,True,Real Estate
Jason Jiang,Singapore,True,Media & Entertainment
Jim Kavanaugh,United States,True,Technology
Richard LeFrak & family,United States,False,Real Estate
Mikhail Lomtadze,Georgia,True,Finance & Investments
Tom Morris,United Kingdom,True,Fashion & Retail
Shigenobu Nagamori,Japan,True,Manufacturing
Daniel Och,United States,True,Finance & Investments
Horst Paulmann & family,Chile,True,Fashion & Retail
Anthony Pritzker,United States,False,Service
John Sall,United States,True,Technology
Howard Schultz,United States,True,Food & Beverage
Richard Schulze,United States,True,Fashion & Retail
Yitzhak Tshuva,Israel,True,Real Estate
Wang Yanqing & family,China,True,Manufacturing
Rajiv Bajaj,India,False,Diversified
Sanjiv Bajaj,India,False,Diversified
Leonid Boguslavsky,Canada,True,Finance & Investments
Jim Coulter,United States,True,Finance & Investments
Nicolas D'Ieteren,Belgium,False,Automotive
Beatriz Davila de Santo Domingo,Colombia,False,Food & Beverage
Bob Gaglardi,Canada,True,Real Estate
Jaime Gilinski Bacal,Colombia,False,Finance & Investments
Pansy Ho,Hong Kong,False,Gambling & Casinos
Alan Howard,United Kingdom,True,Finance & Investments
Huang Yi,Hong Kong,True,Automotive
Peter Kellogg,United States,False,Finance & Investments
Vyacheslav Kim,Kazakhstan,True,Finance & Investments
Josh Kushner,United States,True,Finance & Investments
Samuel Tak Lee,Hong Kong,False,Real Estate
Edwin Leong,Hong Kong,True,Real Estate
"Stephen Mandel, Jr.",United States,True,Finance & Investments
Mohamed Mansour,Egypt,True,Diversified
Masahiro Miki,Japan,True,Fashion & Retail
Masahiro Noda,Japan,True,Technology
Cliff Obrecht,Australia,True,Technology
Melanie Perkins,Australia,True,Technology
J.B. Pritzker,United States,False,Finance & Investments
Juan Roig,Spain,False,Fashion & Retail
Jerry Speyer & family,United States,True,Real Estate
Lawrence Stroll,Canada,True,Fashion & Retail
Tung Chee Chen,Hong Kong,False,Logistics
Wang Junlin,China,True,Food & Beverage
Xia Zuoquan,China,True,Automotive
Zeng Fangqin,China,True,Technology
Zhang Jian,China,True,Manufacturing
Rocco Basilico,Italy,False,Fashion & Retail
Maurizio Billi,Brazil,False,Healthcare
Fashu Chen,China,True,Finance & Investments
Giuseppe Crippa & family,Italy,True,Manufacturing
Daniel D'Aniello,United States,True,Finance & Investments
Claudio Del Vecchio,Italy,False,Fashion & Retail
Clemente Del Vecchio,Italy,False,Fashion & Retail
Leonardo Maria Del Vecchio,Italy,False,Fashion & Retail
Luca Del Vecchio,Italy,False,Fashion & Retail
Marisa Del Vecchio,Italy,False,Fashion & Retail
Paola Del Vecchio,Italy,False,Fashion & Retail
Walter P.J. Droege,Germany,True,Finance & Investments
Fan Daidi,China,True,Fashion & Retail
Peter Gassner,United States,True,Technology
Mikhail Gutseriev,Russia,True,Energy
Patrick Lee,Hong Kong,True,Manufacturing
Leng Youbin,China,True,Food & Beverage
Daniel Loeb,United States,True,Finance & Investments
Margarita Louis-Dreyfus & family,Switzerland,False,Food & Beverage
Prasert Prasarttong-Osoth,Thailand,True,Healthcare
Ira Rennert,United States,True,Finance & Investments
Dirk Rossmann & family,Germany,True,Fashion & Retail
Arkady Rotenberg,Russia,True,Construction & Engineering
Remo Ruffini,Italy,True,Fashion & Retail
Karin Sartorius-Herbst,Germany,False,Healthcare
Vivek Chaand Sehgal,Australia,True,Automotive
Scott Shleifer,United States,True,Finance & Investments
Thomas Siebel,United States,True,Technology
Wim van der Leegte & family,Netherlands,False,Manufacturing
Xiao Yongming & family,China,True,Diversified
Michael Xie,United States,True,Technology
Yang Shaopeng,China,True,Logistics
Nicoletta Zampillo,Italy,False,Fashion & Retail
Barry Zekelman,Canada,False,Manufacturing
William Ackman,United States,True,Finance & Investments
Somphote Ahunai,Thailand,True,Energy
Igor Altushkin,Russia,True,Metals & Mining
Ramon Ang,Philippines,True,Food & Beverage
Acharya Balkrishna,India,True,Food & Beverage
Markus Blocher,Switzerland,False,Manufacturing
Richard Branson,United Kingdom,True,Diversified
Cho Jung-ho,South Korea,False,Finance & Investments
Alessandra Garavoglia,Italy,False,Food & Beverage
Laurence Graff & family,United Kingdom,True,Fashion & Retail
"Amos Hostetter, Jr.",United States,True,Media & Entertainment
Robert Johnson,United States,False,Sports
Steven Klinsky,United States,True,Finance & Investments
William Lauder,United States,False,Fashion & Retail
John Middleton,United States,False,Food & Beverage
Hiroshi Mikitani,Japan,True,Fashion & Retail
Bob Parsons,United States,True,Technology
J. Joe Ricketts & family,United States,True,Finance & Investments
Herb Simon,United States,True,Real Estate
Leena Tewari,India,False,Healthcare
Stefan von Holtzbrinck,Germany,False,Media & Entertainment
Hans Peter Wild,Switzerland,False,Food & Beverage
Wu Guanjiang & family,China,True,Healthcare
Yi Zheng,China,True,Technology
Eric Yuan & family,United States,True,Technology
Charles Zegar,United States,True,Media & Entertainment
Mohed Altrad,France,True,Construction & Engineering
John Arnold,United States,True,Finance & Investments
Bill Austin,United States,True,Manufacturing
Chen Shibin,China,True,Manufacturing
Bennett Dorrance,United States,False,Food & Beverage
Walter Faria,Brazil,True,Food & Beverage
Walter Frey,Switzerland,False,Automotive
Fu Liquan & family,China,True,Technology
John Gandel,Australia,False,Real Estate
Peter Gilgan,Canada,True,Construction & Engineering
Kwek Leng Beng,Singapore,False,Diversified
Pablo Legorreta,United States,True,Finance & Investments
Arnon Milchan,Israel,True,Media & Entertainment
Akio Nitori,Japan,True,Fashion & Retail
Julio Ponce Lerou,Chile,True,Metals & Mining
Rodger Riney & family,United States,True,Finance & Investments
Phil Ruffin,United States,True,Diversified
Naguib Sawiris,Egypt,False,Telecom
Neil Shen,Hong Kong,True,Finance & Investments
Gil Shwed,Israel,True,Technology
Stephen Smith,Canada,True,Finance & Investments
Nik Storonsky,United Kingdom,True,Finance & Investments
Jeffrey Talpins,United States,True,Finance & Investments
Carl Thoma,United States,True,Finance & Investments
Todd Wanek,United States,False,Manufacturing
Xue Hua,China,True,Manufacturing
Takao Yasuda,Japan,True,Fashion & Retail
Karen Virginia Beckmann Legoretta,Mexico,False,Food & Beverage
Giuliana Benetton,Italy,True,Fashion & Retail
Luciano Benetton,Italy,True,Fashion & Retail
Arun Bharat Ram,India,False,Manufacturing
Ron Burkle,United States,True,Finance & Investments
Chen Kaixuan,China,True,Manufacturing
Brunello Cucinelli & family,Italy,True,Fashion & Retail
Antonio Del Valle Ruiz & family,Mexico,True,Manufacturing
Gustavo Denegri & family,Italy,True,Healthcare
Dong Jinggui,China,True,Automotive
Charles Ergen,United States,True,Media & Entertainment
David Filo,United States,True,Technology
Lindsay Fox,Australia,True,Logistics
Sergei Galitsky,Russia,True,Fashion & Retail
Senapathy Gopalakrishnan,India,True,Technology
Luciano Hang,Brazil,True,Fashion & Retail
Michael Hintze,Australia,True,Finance & Investments
Hu Baifan,China,True,Healthcare
Hamilton James & family,United States,True,Finance & Investments
Lee Boo-jin,South Korea,False,Technology
Li Liangbin,China,True,Manufacturing
Liang Feng,China,True,Manufacturing
Samir Mehta,India,False,Healthcare
Sudhir Mehta,India,False,Healthcare
Aristotelis Mistakidis,Greece,True,Metals & Mining
Geoffrey Palmer,United States,False,Real Estate
Roger Penske,United States,True,Automotive
Ravi Pillai,India,True,Construction & Engineering
David Rubenstein,United States,True,Finance & Investments
Hilton Schlosberg,United Kingdom,True,Food & Beverage
Klaus-Peter Schulenberg,Germany,True,Service
Lynn Schusterman & family,United States,False,Energy
Isabella Seràgnoli,Italy,False,Manufacturing
Shen Guojun,China,True,Fashion & Retail
Warren Stephens,United States,False,Finance & Investments
Pat Stryker,United States,False,Healthcare
Roman Trotsenko,Russia,True,Logistics
Harald Tschira,Germany,False,Technology
Udo Tschira,Germany,False,Technology
Vincent Viola,United States,True,Finance & Investments
Wu Shaoxun,China,True,Food & Beverage
Steve Wynn,United States,True,Gambling & Casinos
Jon Yarbrough,United States,True,Gambling & Casinos
Zhou Bajin,China,True,Manufacturing
Cho Tak Wong,Hong Kong,True,Manufacturing
John Coates,United Kingdom,True,Gambling & Casinos
Ryan Cohen,Canada,True,Finance & Investments
Deng Wen,China,True,Food & Beverage
Gurbachan Singh Dhingra,India,True,Manufacturing
Kuldip Singh Dhingra,India,True,Manufacturing
Martin Ebner,Switzerland,True,Finance & Investments
Charles Edelstenne,France,True,Manufacturing
Sergei Gordeev,Russia,True,Real Estate
Jeff T. Green,United States,True,Media & Entertainment
Reed Hastings,United States,True,Technology
Bertil Hult,Sweden,True,Service
Miguel Krigsner,Brazil,True,Fashion & Retail
Kuok Khoon Hong,Singapore,False,Manufacturing
Aerin Lauder,United States,False,Fashion & Retail
Sheldon Lavin,United States,True,Food & Beverage
Yin Yee Lee,China,True,Manufacturing
Vladimir Litvinenko & family,Russia,True,Manufacturing
Daniel Mate,Spain,True,Metals & Mining
Ravi Modi,India,True,Fashion & Retail
Farhad Moshiri,United Kingdom,True,Diversified
Jonathan Nelson,United States,True,Finance & Investments
Or Wai Sheun,Hong Kong,True,Real Estate
Katharina Otto-Bernstein,Germany,False,Real Estate
Sergei Popov,Russia,True,Finance & Investments
Penny Pritzker,United States,False,Finance & Investments
Theodore Rachmat,Indonesia,False,Diversified
Renzo Rosso & family,Italy,True,Fashion & Retail
Friede Springer,Germany,False,Media & Entertainment
Rita Tong Liu,Hong Kong,True,Real Estate
Timur Turlov,Kazakhstan,True,Finance & Investments
Frank VanderSloot,United States,True,Fashion & Retail
Yoo Jung-hyun,South Korea,True,Media & Entertainment
Abdulla bin Ahmad Al Ghurair & family,United Arab Emirates,False,Diversified
Semahat Sevim Arsel,Turkey,False,Diversified
Nicolas Berggruen,United States,False,Real Estate
George Bishop,United States,True,Energy
Norman Braman,United States,True,Automotive
Eva Maria Bucher-Haefner,Switzerland,False,Technology
Cai Dongchen,China,True,Healthcare
Jean-Pierre Cayard,France,False,Food & Beverage
Chan Tan Ching-fen,Hong Kong,False,Real Estate
Todd Christopher,United States,True,Fashion & Retail
Mang Yee Chu & family,China,True,Real Estate
"William Conway, Jr.",United States,True,Finance & Investments
Jean Coutu & family,Canada,True,Fashion & Retail
Catheline Perier D'Ieteren,Belgium,False,Automotive
"Edward DeBartolo, Jr.",United States,False,Real Estate
Stephen Deckoff,United States,True,Finance & Investments
Feng Hailiang,China,True,Metals & Mining
"Ernest Garcia, II.",United States,True,Automotive
Sam Goi,Singapore,True,Food & Beverage
Carlos Hank Rhon,Mexico,False,Diversified
Susan Carol Holland,Italy,False,Manufacturing
Hui Ka Yan,China,True,Real Estate
Vivek Jain,India,False,Manufacturing
Friedrich Knapp,Germany,True,Fashion & Retail
Egor Kulkov,Russia,True,Healthcare
Lin Ming-hsiung,Taiwan,True,Fashion & Retail
Lin Xiucheng & family,China,True,Technology
Harsh Mariwala,India,False,Food & Beverage
Gilles Martin,France,True,Healthcare
Maja Oeri,Switzerland,False,Healthcare
John Paulson,United States,True,Finance & Investments
Ajay Piramal,India,False,Healthcare
Guanghe Qiu & family,China,True,Fashion & Retail
Stephen Rubin,United Kingdom,False,Fashion & Retail
Robert Sands,United States,False,Food & Beverage
Erik Selin,Sweden,True,Real Estate
Yonghong Shi & family,China,True,Food & Beverage
Martua Sitorus,Indonesia,True,Manufacturing
Guangxin Sun,China,True,Diversified
Sukanto Tanoto,Indonesia,True,Diversified
Sunny Varkey,India,False,Service
Gang Ye,Singapore,True,Media & Entertainment
Ye Xiaoping,China,True,Healthcare
Lei Zhang,China,True,Finance & Investments
Zhu Gongshan & family,China,True,Manufacturing
Isak Andic & family,Spain,True,Fashion & Retail
Alberto Bombassei,Italy,False,Automotive
Cao Longxiang & family,China,True,Healthcare
"Roy Carroll, II.",United States,True,Real Estate
John Caudwell,United Kingdom,True,Telecom
James Clark,United States,True,Technology
Jacques D'Amours,Canada,True,Fashion & Retail
John Paul DeJoria,United States,True,Fashion & Retail
Bernard Ecclestone & family,United Kingdom,True,Sports
Michael Federmann & family,Israel,True,Technology
Kenneth Feld & family,United States,False,Media & Entertainment
Gu Yuhua & family,China,True,Manufacturing
Otto Happel,Germany,False,Construction & Engineering
Gudrun Heine,Germany,False,Healthcare
Donald Horton & family,United States,True,Real Estate
Zarakh Iliev,Russia,True,Real Estate
Ipek Kirac,Turkey,False,Diversified
Lee Seo-hyun,South Korea,False,Technology
Li Jianquan & family,Hong Kong,True,Healthcare
Li Li,China,True,Healthcare
Li Xiaohua & family,China,True,Manufacturing
Liu Xiaodong,China,True,Manufacturing
Martin Lorentzon,Sweden,True,Technology
Ronald McAulay,Hong Kong,False,Energy
Erwin Franz Mueller,Germany,True,Fashion & Retail
Georg Nemetschek & family,Germany,True,Technology
God Nisanov,Russia,True,Real Estate
Vikas Oberoi,India,False,Real Estate
Gregorio Perez Companc & family,Argentina,True,Energy
Sebastian Piñera & family,Chile,True,Finance & Investments
Arvind Poddar,India,False,Automotive
Alexey Repik,Russia,True,Healthcare
Haim Saban,United States,True,Media & Entertainment
Rodney Sacks,United States,True,Food & Beverage
Karthik Sarma,India,True,Finance & Investments
Sybill Storz,Germany,False,Healthcare
Daniel Sundheim,United States,True,Finance & Investments
"William Wrigley, Jr.",United States,False,Food & Beverage
Zhang Wenzhong,China,True,Fashion & Retail
Zhou Jianping,China,True,Fashion & Retail
Joy Alukkas,India,False,Fashion & Retail
Kang An,China,True,Healthcare
Garrett Camp,Canada,True,Technology
Chen Lip Keong,Malaysia,True,Gambling & Casinos
Choo Chong Ngen,Singapore,True,Real Estate
Euisun Chung,South Korea,False,Automotive
Smita Crishna-Godrej,India,False,Diversified
Eleanor Butt Crook & family,United States,False,Fashion & Retail
Du Jiangtao & family,China,True,Manufacturing
Lorenzo Fertitta,United States,False,Sports
Sebastian Glaser,Germany,False,Technology
Adi Godrej,India,False,Diversified
Jamshyd Godrej,India,False,Diversified
Lee Yeow Chor,Malaysia,False,Real Estate
Li Weiguo,China,True,Manufacturing
Dmitry Mazepin,Russia,True,Manufacturing
"Drayton McLane, Jr.",United States,False,Fashion & Retail
Najib Mikati,Lebanon,True,Telecom
Taha Mikati,Lebanon,True,Telecom
Akira Mori & family,Japan,False,Real Estate
Rishad Naoroji,India,False,Diversified
Philip Niarchos,Greece,False,Diversified
Nandan Nilekani,India,True,Technology
Benjamin Otto,Germany,False,Fashion & Retail
Maren Otto,Germany,False,Diversified
Ranjan Pai,India,False,Service
Madhukar Parekh,India,False,Manufacturing
Sean Parker,United States,True,Technology
Stewart Rahr,United States,False,Healthcare
Su Hua,China,True,Media & Entertainment
Sun Shoukuan,China,True,Manufacturing
Tseng Cheng,Taiwan,False,Manufacturing
Tung Chee Hwa,Hong Kong,False,Logistics
Meg Whitman,United States,True,Technology
Wong Luen Hei,China,True,Manufacturing
Chenghai Ye & family,Hong Kong,True,Healthcare
Zhu Xingming,China,True,Manufacturing
Jose Joao Abdalla Filho,Brazil,False,Finance & Investments
Juan Abello,Spain,False,Finance & Investments
Suhail Bahwan,Oman,True,Diversified
Madhur Bajaj,India,False,Diversified
Niraj Bajaj,India,False,Diversified
Shekhar Bajaj,India,False,Diversified
Harindarpal Banga,India,True,Finance & Investments
Ulrike Baro,Germany,False,Healthcare
Anne Beaufour,France,False,Healthcare
Henri Beaufour,France,False,Healthcare
Andrei Bokarev,Russia,True,Manufacturing
Jack Cowin,Australia,True,Food & Beverage
Glenn Dubin,United States,True,Finance & Investments
N. Murray Edwards,Canada,True,Energy
"Frank Fertitta, III.",United States,False,Sports
Abhay Firodia,India,False,Automotive
Bruce Flatt,Canada,True,Finance & Investments
Miguel Fluxa Rossello,Spain,False,Service
Robert Friedland,United States,True,Metals & Mining
Alexander Frolov,Russia,True,Metals & Mining
Nadir Godrej,India,False,Diversified
Maggie Hardy,United States,False,Service
Nithin Kamath,India,True,Finance & Investments
Samvel Karapetyan,Russia,True,Construction & Engineering
Kei Hoi Pang,China,True,Real Estate
Mustafa Rahmi Koc,Turkey,False,Diversified
Yuri Kovalchuk & family,Russia,True,Finance & Investments
Geoffrey Kwok,Hong Kong,False,Real Estate
Jonathan Kwok,Hong Kong,False,Real Estate
Hans Langer,Germany,True,Manufacturing
Frank Laukien,United States,False,Manufacturing
Maritsa Lazari & family,United Kingdom,True,Real Estate
Angela Leong,Hong Kong,False,Real Estate
Li Zhongchu,China,True,Technology
Liang Yunchao,China,True,Food & Beverage
Vincent McMahon,United States,True,Sports
Patrice Motsepe,South Africa,True,Metals & Mining
Denis O'Brien,Ireland,True,Telecom
Timm Oberwelland,Germany,False,Food & Beverage
Dan Olsson,Sweden,False,Diversified
Yuji Otsuka,Japan,False,Technology
Pan Dong,Canada,True,Fashion & Retail
Karsanbhai Patel,India,True,Diversified
Richard Peery,United States,True,Real Estate
Gianfelice Rocca,Italy,False,Metals & Mining
Paolo Rocca,Italy,False,Metals & Mining
Wayne Rothbaum,United States,True,Healthcare
Jeff Rothschild,United States,True,Technology
Raj Sardana,United States,True,Technology
Christiane Schoeller,Germany,False,Media & Entertainment
Salil Singhal,India,False,Manufacturing
Alexander Skorobogatko,Russia,True,Logistics
Evan Spiegel,United States,True,Technology
Glen Taylor,United States,True,Service
Thomas Tull,United States,True,Media & Entertainment
Bulat Utemuratov,Kazakhstan,True,Metals & Mining
Gustav Magnar Witzoe,Norway,False,Food & Beverage
Wong Man Li,Hong Kong,True,Manufacturing
Guangming Wu,China,True,Healthcare
Zhu Yi,China,True,Healthcare
Ben Ashkenazy,United States,True,Real Estate
Felix Baker,United States,True,Finance & Investments
Julian Baker,United States,True,Finance & Investments
David Baszucki,United States,True,Media & Entertainment
Joesley Batista,Brazil,False,Food & Beverage
Wesley Batista,Brazil,False,Food & Beverage
Yvonne Bauer,Germany,False,Media & Entertainment
Miriam Baumann-Blocher,Switzerland,False,Manufacturing
Cen Junda,China,True,Healthcare
Richard Chandler,New Zealand,False,Finance & Investments
Chen Zhiping,China,True,Manufacturing
Fernando Chico Pardo,Mexico,True,Service
Ray Davis,United States,True,Energy
Maria Del Pino,Spain,False,Construction & Engineering
Deng Weiming & family,China,True,Manufacturing
"John Dorrance, III.",Ireland,False,Food & Beverage
Carl Douglas,Sweden,False,Diversified
Eric Douglas,Sweden,False,Diversified
Fiona Geminder,Australia,False,Manufacturing
Stewart Horejsi & family,United States,True,Finance & Investments
Hou Juncheng,China,True,Healthcare
Zhenda Huang & family,China,True,Construction & Engineering
Dmitry Kamenshchik,Russia,True,Service
Alicia Koplowitz,Spain,False,Finance & Investments
Adam Kwok,Hong Kong,False,Real Estate
Henry Laufer,United States,True,Finance & Investments
Louis Le Duff,France,True,Food & Beverage
Mark Leonard & family,Canada,True,Technology
Li Guoqiang,China,True,Automotive
Li Yongxin,China,True,Service
Peter Lim,Singapore,True,Finance & Investments
Lu Weiding,China,False,Diversified
Sergio Mantegazza,Switzerland,True,Service
Hans Melchers,Netherlands,True,Finance & Investments
C. Dean Metropoulos,United States,True,Food & Beverage
Hans Georg Naeder,Germany,False,Manufacturing
Falguni Nayar,India,True,Fashion & Retail
James Packer,Australia,False,Finance & Investments
Alexander Ponomarenko,Russia,True,Logistics
Nicholas Pritzker,United States,False,Finance & Investments
Alejandro Santo Domingo,United States,False,Food & Beverage
Steven Sarowitz,United States,True,Technology
Maria-Elisabeth Schaeffler-Thumann,Germany,False,Automotive
Leonard Schleifer,United States,True,Healthcare
Dieter Schnabel,Germany,False,Manufacturing
Michael S. Smith,United States,True,Energy
Julia Thiele-Schuerhoff,Germany,False,Manufacturing
John Tyson & family,United States,False,Food & Beverage
Anna Katharina Viessmann,Germany,False,Manufacturing
Jurgen Wirtgen,Germany,False,Construction & Engineering
Stefan Wirtgen,Germany,False,Construction & Engineering
Zhao Lixin,China,True,Technology
Hongyi Zhou,China,True,Technology
S. Daniel Abraham,United States,True,Food & Beverage
Bill Alfond,United States,False,Fashion & Retail
Susan Alfond,United States,False,Fashion & Retail
Ted Alfond,United States,False,Fashion & Retail
Riley Bechtel & family,United States,False,Construction & Engineering
Thor Bjorgolfsson,Iceland,True,Diversified
Charles Bronfman,Canada,False,Food & Beverage
Vivek Chand Burman,India,False,Food & Beverage
Herb Chambers,United States,True,Automotive
Cheng Yixiao,China,True,Media & Entertainment
Andrew Cherng,United States,True,Food & Beverage
Peggy Cherng,United States,True,Food & Beverage
Leon G. Cooperman,United States,True,Finance & Investments
Yadu Hari Dalmia & family,India,False,Manufacturing
Henry Davis,United States,False,Food & Beverage
Oleg Deripaska,Russia,True,Metals & Mining
Sergey Dmitriev,Cyprus,True,Technology
Joseph Edelman,United States,True,Finance & Investments
Sandeep Engineer,India,True,Manufacturing
Alceu Elias Feldmann & family,Brazil,True,Energy
Serge Godin,Canada,True,Technology
Alec Gores,United States,True,Finance & Investments
Bill Haslam,United States,False,Fashion & Retail
J. Tomilson Hill,United States,True,Finance & Investments
Jay-Z,United States,True,Media & Entertainment
Baba Kalyani,India,False,Automotive
Saban Cemil Kazanci,Turkey,False,Energy
Brad Kelley,United States,True,Real Estate
Wolfgang Leitner,Austria,True,Construction & Engineering
Li Hongxin & family,China,True,Manufacturing
Lin Chen-hai,Taiwan,True,Real Estate
Lu Yiwen,China,True,Fashion & Retail
Prayudh Mahagitsiri,Thailand,False,Food & Beverage
Willy Michel,Switzerland,True,Healthcare
Lachhman Das Mittal,India,False,Automotive
Bobby Murphy,United States,True,Technology
Tomas Olivo Lopez,Spain,True,Real Estate
Eren Ozmen,United States,True,Manufacturing
John Pritzker,United States,False,Finance & Investments
Qiu Minxiu,China,True,Technology
Ferit Faik Sahenk,Turkey,False,Diversified
Wenrong Shen,China,True,Metals & Mining
Yuzhu Shi,China,True,Diversified
Jeff Sutton,United States,True,Real Estate
"Henry Sy, Jr.",Philippines,False,Diversified
Andrew Tan,Philippines,True,Diversified
Arvind Tiku,India,True,Energy
Byron Trott,United States,True,Finance & Investments
Donald Trump,United States,False,Real Estate
